OBJECTID,Join_Count,TARGET_FID,Fatalities,PedFatalities,BikeFatalities,MVOFatalities,YR,nodeX,nodeY,STREET1,STREET2
412,5,412,1,1,0,0,2014,991296.2323,150577.7484,WEST 6 STREET                   ,NEPTUNE AVENUE                  
413,1,413,1,1,0,0,2014,990898.6183,227620.0888,WEST 90 STREET                  ,WEST END AVENUE                 
414,1,414,1,1,0,0,2014,987020.106,184347.9525,7 STREET                        ,3 AVENUE                        
415,1,415,1,0,0,1,2014,1013548.07,243478.0062,WILKINS AVENUE                  ,BOSTON ROAD                     
416,1,416,1,1,0,0,2014,1037447.136,200485.1342,82 DRIVE                        ,PARSONS BOULEVARD               
417,2,417,1,0,0,1,2014,1031748.483,242911.6491,EAST TREMONT AVENUE             ,BRUCKNER BOULEVARD              
418,1,418,1,0,1,0,2014,995355.3088,198237.9307,SOUTH 4 STREET                  ,ROEBLING STREET                 
419,2,419,1,1,0,0,2014,1002380.036,232820.1647,3 AVE-E 128 STREET PED OVPS     ,3 AVENUE BRIDGE APPROACH        
420,3,420,1,0,0,1,2014,997863.1909,149529.073,BEAUMONT STREET                 ,ORIENTAL BOULEVARD              
421,3,421,1,0,0,1,2014,1048800.968,178418.9323,150 ROAD                        ,GUY R BREWER BOULEVARD          
422,1,422,1,1,0,0,2014,986465.0809,212194.615,7 AVENUE                        ,WEST 31 STREET                  
423,1,423,1,1,0,0,2014,1020838.069,239141.8567,STORY AVENUE                    ,SOUNDVIEW AVENUE                
424,6,424,1,1,0,0,2014,1027497.921,202160.4291,71 AVENUE                       ,QUEENS BOULEVARD                
425,3,425,1,1,0,0,2014,997213.1069,183381.55,ROGERS AVENUE                   ,EASTERN PARKWAY                 
426,1,426,1,1,0,0,2014,1013406.703,193808.9963,60 LANE                         ,75 AVENUE                       
427,1,427,1,0,1,0,2014,1026070.821,187726.6463,102 ROAD                        ,ROCKAWAY BOULEVARD              
428,1,428,1,1,0,0,2014,1000217.064,182188.4487,CARROLL STREET                  ,KINGSTON AVENUE                 
429,3,429,1,0,0,1,2014,993222.1274,161305.3779,OCEAN PARKWAY                   ,AVENUE P                        
430,1,430,1,0,1,0,2014,1042147.618,182340.8096,148 STREET                      ,NORTH CONDUIT AVENUE            
431,1,431,1,1,0,0,2014,1000351.303,194574.8999,BROADWAY                        ,FLUSHING AVENUE                 
432,2,432,1,0,0,1,2014,1014368.636,252128.8974,EAST 188 STREET                 ,3 AVENUE                        
433,1,433,1,1,0,0,2014,1013065.112,174856.8003,FLATLANDS AVENUE                ,EAST 103 STREET                 
434,1,434,1,1,0,0,2014,1014986.939,218123.3069,ASTORIA BOULEVARD               ,ASTORIA BOULEVARD RAMP          
435,1,435,1,0,0,1,2014,1000681.696,232834.2089,MADISON AVENUE                  ,EAST 125 STREET                 
436,1,436,1,1,0,0,2014,1030806.723,219035.0767,LINDEN PLACE                    ,32 AVENUE                       
437,1,437,1,1,0,0,2014,980154.8835,170246.0454,65 STREET                       ,7 AVENUE                        
438,1,438,1,0,0,1,2014,1049160.728,189663.9422,178 PLACE                       ,119 ROAD                        
439,1,439,1,1,0,0,2014,1008918.487,194147.4011,PALMETTO STREET                 ,WYCKOFF AVENUE                  
440,1,440,1,1,0,0,2014,997206.7224,226564.1755,EAST 98 STREET                  ,MADISON AVENUE                  
441,3,441,1,1,0,0,2014,967085.1203,156535.896,LILY POND AVENUE                ,FR CAPODANNO BOULEVARD          
442,1,442,1,1,0,0,2014,1006742.326,236129.1958,WILLIS AVENUE                   ,EAST 147 STREET                 
443,1,443,1,1,0,0,2014,927866.7453,127561.7357,BAYVIEW AVENUE                  ,HYLAN BOULEVARD                 
444,1,444,1,1,0,0,2014,999411.0028,172008.4169,NEW YORK AVENUE                 ,FOSTER AVENUE                   
445,1,445,1,0,0,1,2014,1042593.087,189981.2415,LINDEN BOULEVARD                ,158 STREET                      
446,1,446,1,1,0,0,2014,983690.4047,209040.3694,8 AVENUE                        ,WEST 15 STREET                  
447,1,447,1,1,0,0,2014,991602.6165,175214.0604,CATON AVENUE                    ,EAST 7 STREET                   
448,1,448,1,1,0,0,2014,1019887.257,245219.6625,EAST TREMONT AVENUE             ,VAN NEST AVENUE                 
449,1,449,1,0,0,1,2014,1009426.153,219547.8808,ASTORIA BOULEVARD NORTH         ,41 STREET                       
450,1,450,1,0,0,1,2014,996764.9254,206601.1715,MANHATTAN AVENUE                ,GREEN STREET                    
451,1,451,1,1,0,0,2014,1023605.54,206846.0398,99 STREET                       ,62 ROAD                         
452,4,452,1,1,0,0,2014,1028979.414,191079.7334,ATLANTIC AVENUE                 ,107 STREET                      
453,1,453,1,0,1,0,2014,1057546.495,190077.4027,228 STREET                      ,120 AVENUE                      
454,1,454,1,1,0,0,2014,1046284.07,201866.9949,WICKLOW PLACE                   ,188 STREET                      
455,8,455,1,1,0,0,2014,1011024.575,185396.4606,EAST NEW YORK AVENUE            ,VAN SINDEREN AVENUE             
456,1,456,1,1,0,0,2014,999480.7464,171156.4176,FARRAGUT ROAD                   ,NEW YORK AVENUE                 
457,1,457,1,1,0,0,2014,1001481.317,217853.2451,11 STREET                       ,34 AVENUE                       
458,1,458,1,1,0,0,2014,990502.1755,188495.9229,FLATBUSH AVENUE                 ,ATLANTIC AVENUE                 
459,1,459,1,0,0,1,2014,1020480.392,242091.3587,WESTCHESTER AVENUE              ,ROSEDALE AVENUE                 
460,1,460,1,0,1,0,2014,998892.9756,217903.2844,MAIN STREET                     ,RIVER ROAD                      
461,1,461,1,1,0,0,2014,1003601.756,213262.6834,NORTHERN BOULEVARD              ,34 STREET                       
462,1,462,1,1,0,0,2014,985644.4952,201820.4629,ELIZABETH STREET                ,KENMARE STREET                  
463,1,463,1,1,0,0,2014,1002330.79,212885.3187,NORTHERN BOULEVARD              ,40 ROAD                         
464,1,464,1,1,0,0,2014,1000194.443,195422.8346,GRAHAM AVENUE                   ,VARET STREET                    
465,1,465,1,1,0,0,2014,986820.5427,205191.1907,EAST 8 STREET                   ,COOPER SQUARE                   
466,1,466,1,1,0,0,2014,985086.14,200331.5715,ELIZABETH STREET                ,CANAL STREET                    
467,1,467,1,1,0,0,2014,987931.0261,200117.5037,GRAND STREET                    ,CLINTON STREET                  
468,1,468,1,0,1,0,2014,1019608.501,242482.398,FTELEY AVENUE                   ,EAST 172 STREET                 
469,1,469,1,1,0,0,2014,1022808.206,241123.2832,WHITE PLAINS ROAD               ,WATSON AVENUE                   
470,1,470,1,1,0,0,2014,1001478.768,229652.6799,2 AVENUE                        ,EAST 116 STREET                 
471,1,471,1,1,0,0,2014,991804.3221,229256.4569,WEST END AVENUE                 ,WEST 97 STREET                  
472,2,472,1,1,0,0,2014,1011571.602,200020.8438,60 DRIVE                        ,FRESH POND ROAD                 
473,1,473,1,1,0,0,2014,1008693.93,261278.9378,NETHERLAND AVENUE               ,WEST 232 STREET                 
474,1,474,1,1,0,0,2014,950047.2905,168552.6629,DELAFIELD AVENUE                ,CLOVE ROAD                      
475,3,475,1,1,0,0,2014,988029.438,208946.1898,EAST 23 STREET                  ,PARK AVENUE SOUTH               
476,1,476,1,1,0,0,2014,1003572.517,166784.881,FLATLANDS AVENUE                ,SCHENECTADY AVENUE              
477,1,477,1,1,0,0,2014,1016985.823,250197.3756,EAST 187 STREET                 ,SOUTHERN BOULEVARD              
478,1,478,1,0,0,1,2014,952808.243,166292.2344,BROADWAY                        ,TYLER AVENUE                    
479,1,479,1,0,0,1,2014,1006772.992,170445.9725,GLENWOOD ROAD                   ,RALPH AVENUE                    
480,1,480,1,0,0,1,2014,957845.0571,173200.1599,CASSIDY PLACE                   ,LAFAYETTE AVENUE                
481,1,481,1,0,0,1,2014,1052359.691,160292.6467,BEACH CHANNEL DRIVE             ,DIX AVENUE                      
482,1,482,1,1,0,0,2014,987520.5676,156333.7212,BENSON AVENUE                   ,BAY 40 STREET                   
483,1,483,1,0,0,1,2014,992918.2304,193490.7325,WAVERLY AVENUE                  ,FLUSHING AVENUE                 
484,1,484,1,1,0,0,2014,998756.6242,221724.2643,YORK AVENUE                     ,EAST 85 STREET                  
485,1,485,1,1,0,0,2014,982584.1536,184886.0319,LORRAINE STREET                 ,HICKS STREET                    
486,1,486,1,1,0,0,2014,1032303.197,216381.8635,UNION STREET                    ,ROOSEVELT AVENUE                
487,1,487,1,1,0,0,2014,987787.5913,165895.995,60 STREET                       ,18 AVENUE                       
488,1,488,1,1,0,0,2014,994638.6108,232520.7056,AMSTERDAM AVENUE                ,WEST 113 STREET                 
489,1,489,1,0,0,1,2014,1008250.066,197107.9657,ONDERDONK AVENUE                ,STANHOPE STREET                 
490,1,490,1,1,0,0,2014,1039415.393,193792.0081,LIBERTY AVENUE                  ,TUCKERTON STREET                
491,1,491,1,1,0,0,2014,984487.4572,214192.3272,10 AVENUE                       ,WEST 34 STREET                  
492,1,492,1,1,0,0,2014,966178.6293,158318.084,NARROWS ROAD SOUTH              ,LILY POND AVENUE                
493,2,493,1,1,0,0,2014,986805.4903,204632.8457,COOPER SQUARE                   ,EAST 6 STREET                   
494,3,494,1,0,0,1,2014,1054484.096,156357.3694,SEAGIRT BOULEVARD               ,BEACH 13 STREET                 
495,1,495,1,0,0,1,2014,1003301.119,194885.9689,GEORGE STREET                   ,CENTRAL AVENUE                  
496,3,496,1,0,1,0,2014,998939.5733,228642.3079,EAST 108 STREET                 ,PARK AVENUE                     
497,1,497,1,0,0,1,2014,1017225.599,185362.3764,GLENMORE AVENUE                 ,SHEPHERD AVENUE                 
498,1,498,1,0,0,1,2014,1009882.976,173089.3041,GLENWOOD ROAD                   ,REMSEN AVENUE                   
499,1,499,1,1,0,0,2014,980022.9943,161281.7195,14 AVENUE                       ,BATH AVENUE                     
500,1,500,1,1,0,0,2014,986975.7163,164842.7852,65 STREET                       ,18 AVENUE                       
501,1,501,1,0,0,1,2014,1027501.763,250698.4343,EASTCHESTER ROAD                ,SEMINOLE STREET                 
502,1,502,1,0,0,1,2014,999433.05,227425.6896,EAST 105 STREET                 ,3 AVENUE                        
503,1,503,1,1,0,0,2014,1005245.18,155034.1634,FLORENCE AVENUE                 ,GERRITSEN AVENUE                
504,3,504,1,1,0,0,2014,1023114.439,214881.5811,109 STREET                      ,34 AVENUE                       
505,1,505,1,1,0,0,2014,1041386.183,198879.3697,HIGHLAND AVENUE                 ,169 STREET                      
506,1,506,1,1,0,0,2014,1011536.359,255992.8099,EAMES PLACE                     ,CLAFLIN AVENUE                  
507,3,507,1,0,0,1,2014,1001821.933,183054.133,TROY AVENUE                     ,EASTERN PARKWAY                 
508,1,508,1,1,0,0,2014,984262.1391,200869.5101,CANAL STREET                    ,CENTRE STREET                   
509,1,509,1,1,0,0,2014,1006409.981,180151.2713,ROCKAWAY PARKWAY                ,CLARKSON AVENUE                 
510,3,510,1,1,0,0,2014,986118.2013,202449.8051,BOWERY                          ,PRINCE STREET                   
511,1,511,1,1,0,0,2014,992354.7735,185145.5097,FLATBUSH AVENUE                 ,GRAND ARMY PLAZA OVAL           
512,15,512,1,0,0,1,2014,1026173.435,190024.3713,ATLANTIC AVENUE                 ,WOODHAVEN BOULEVARD             
513,1,513,1,1,0,0,2014,997411.0166,157603.1215,EAST 19 STREET                  ,AVENUE U                        
514,1,514,1,1,0,0,2014,992846.0589,161245.2763,EAST 5 STREET                   ,AVENUE P                        
515,3,515,1,1,0,0,2014,944104.9799,137455.7937,HYLAN BOULEVARD                 ,CLEVELAND AVENUE                
516,1,516,1,1,0,0,2014,991531.9569,228764.7125,WEST END AVENUE                 ,WEST 95 STREET                  
517,1,517,1,0,0,1,2014,1014347.18,235987.3453,TIFFANY STREET                  ,BURNETT PLACE                   
518,3,518,1,1,0,0,2014,1013073.4,254151.8097,GRAND CONCOURSE                 ,EAST 192 STREET                 
519,1,519,1,0,1,0,2014,995178.8065,230725.8503,WEST 108 STREET                 ,MANHATTAN AVENUE                
520,1,520,1,1,0,0,2014,1030592.747,247851.4978,WESTCHESTER AVENUE              ,EDISON AVENUE                   
521,5,521,1,0,0,1,2014,1005082.412,174171.8509,CLARENDON ROAD                  ,KINGS HIGHWAY                   
522,1,522,1,0,1,0,2014,998862.313,227441.9034,EAST 104 STREET                 ,LEXINGTON AVENUE                
523,3,523,2,2,0,0,2014,992062.5795,228790.9755,BROADWAY                        ,WEST 96 STREET                  
524,3,524,1,0,0,1,2014,1035215.185,193125.7693,ATLANTIC AVENUE                 ,133 STREET                      
525,1,525,1,1,0,0,2014,1048983.553,178289.2508,RAMP                            ,ROCKAWAY BOULEVARD              
526,3,526,1,0,0,1,2014,997290.0392,186556.6387,ATLANTIC AVENUE                 ,BEDFORD AVENUE                  
527,1,527,1,0,0,1,2014,997625.0779,158472.6867,OCEAN AVENUE                    ,AVENUE T                        
528,1,528,1,1,0,0,2014,998511.8543,224300.3251,2 AVENUE                        ,EAST 93 STREET                  
529,3,529,1,1,0,0,2014,1007160.948,165720.9101,RALPH AVENUE                    ,AVENUE M                        
530,1,530,1,0,0,1,2014,1012861.864,269499.0719,BROADWAY                        ,WEST 259 STREET                 
531,1,531,1,1,0,0,2014,1018987.485,212041.7544,92 STREET                       ,ROOSEVELT AVENUE                
532,3,532,1,0,0,1,2014,1009448.591,185083.8497,EASTERN PARKWAY                 ,DEAN STREET                     
533,1,533,1,0,0,1,2014,982428.7241,163062.6283,81 STREET                       ,15 AVENUE                       
534,1,534,1,1,0,0,2014,988494.0237,190381.0504,LIVINGSTON STREET               ,ELM PLACE                       
535,3,535,1,0,0,1,2014,1015905.736,171091.5683,EAST 102 STREET                 ,SEAVIEW AVENUE                  
536,1,536,1,1,0,0,2014,998281.3922,225347.9673,EAST 96 STREET                  ,3 AVENUE                        
537,1,537,1,0,0,1,2014,950973.8703,149084.3298,RICHMOND ROAD                   ,NEW DORP LANE                   
538,1,538,1,0,1,0,2014,1033274.842,217550.5029,PARSONS BOULEVARD               ,37 AVENUE                       
539,1,539,1,1,0,0,2014,1015805.067,244155.5439,EAST 174 STREET                 ,VYSE AVENUE                     
540,3,540,1,0,1,0,2014,999342.3711,233575.1031,WEST 125 STREET                 ,LENOX AVENUE                    
541,1,541,1,0,0,1,2014,1020679.043,183428.0922,DUMONT AVENUE                   ,CRESCENT STREET                 
542,3,542,1,0,1,0,2014,989431.256,201850.7282,AVENUE C                        ,PITT STREET                     
543,1,543,2,0,0,2,2014,1003855.639,173231.1309,UTICA AVENUE                    ,AVENUE D                        
544,1,544,1,1,0,0,2014,1014332.862,211390.9651,74 STREET                       ,ROOSEVELT AVENUE                
545,1,545,1,0,1,0,2014,991860.9559,160304.3825,MC DONALD AVENUE                ,QUENTIN ROAD                    
546,1,546,1,1,0,0,2014,996996.5096,233056.6527,FREDERICK DOUGLASS BOULEVARD    ,WEST 119 STREET                 
547,1,547,1,1,0,0,2014,1022165.173,185345.0237,FORBELL STREET                  ,NORTH CONDUIT AVENUE            
548,3,548,1,1,0,0,2014,1041749.444,211011.9927,PECK AVENUE                     ,UTOPIA PARKWAY                  
549,5,549,1,0,0,1,2014,1026935.169,188600.9785,101 AVENUE                      ,WOODHAVEN BOULEVARD             
550,1,550,1,0,1,0,2014,994760.9662,183084.7103,WASHINGTON AVENUE               ,CLASSON AVENUE                  
551,1,551,1,0,0,1,2014,966200.4826,159815.3025,SCHOOL ROAD                     ,LILY POND AVENUE                
552,1,552,1,1,0,0,2014,1064332.397,207826.9499,HILLSIDE AVENUE                 ,257 STREET                      
553,1,553,1,0,1,0,2014,1002212.329,193214.0893,BROADWAY                        ,JEFFERSON STREET                
554,1,554,1,1,0,0,2014,986156.7711,207673.0854,EAST 15 STREET                  ,5 AVENUE                        
555,1,555,1,1,0,0,2014,997851.3012,181158.6446,EMPIRE BOULEVARD                ,NOSTRAND AVENUE                 
556,1,556,1,1,0,0,2014,1027454.04,202471.1765,70 ROAD                         ,108 STREET                      
557,1,557,1,0,0,1,2014,1013442.519,256523.3341,PAUL AVENUE                     ,JEROME AVENUE                   
558,9,558,2,0,0,2,2014,1005769.025,161455.8005,FLATBUSH AVENUE                 ,AVENUE U                        
559,1,559,1,0,0,1,2014,932512.359,130237.5801,HUGUENOT AVENUE                 ,HYLAN BOULEVARD                 
560,1,560,1,1,0,0,2014,1036870.11,182368.6881,130 STREET                      ,NORTH CONDUIT AVENUE            
561,1,561,1,0,0,1,2014,1048949.019,195607.5061,LIBERTY AVENUE                  ,109 ROAD                        
562,1,562,1,1,0,0,2014,984961.1698,209477.0188,WEST 19 STREET                  ,7 AVENUE                        
563,1,563,1,1,0,0,2014,1039821.626,224607.2962,17 AVENUE                       ,WILLETS POINT BOULEVARD         
564,1,564,1,1,0,0,2014,1000160.916,195681.7448,GRAHAM AVENUE                   ,MOORE STREET                    
565,1,565,1,1,0,0,2014,994740.1165,222113.4597,MADISON AVENUE                  ,EAST 79 STREET                  
566,1,566,1,1,0,0,2014,998412.9831,174319.3706,NOSTRAND AVENUE                 ,BEVERLY ROAD                    
567,1,567,1,1,0,0,2014,1023153.514,213398.8577,38 AVENUE                       ,108 STREET                      
568,1,568,1,1,0,0,2014,984988.9126,157344.9068,BAY PARKWAY                     ,BATH AVENUE                     
569,2,569,1,1,0,0,2014,1013451.899,203918.6703,GRAND AVENUE                    ,69 PLACE                        
570,1,570,1,0,0,1,2014,1011240.198,176192.7786,EAST 101 STREET                 ,FOSTER AVENUE                   
571,1,571,1,1,0,0,2014,999799.6995,198551.6604,GRAHAM AVENUE                   ,GRAND STREET                    
572,1,572,1,1,0,0,2014,1007465.527,186511.4456,SARATOGA AVENUE                 ,FULTON STREET                   
573,1,573,1,1,0,0,2014,1050144.171,191359.0635,LINDEN BOULEVARD                ,FARMERS BOULEVARD               
574,9,574,1,0,0,1,2014,1057623.394,201155.061,JAMAICA AVENUE                  ,SPRINGFIELD BOULEVARD           
575,1,575,1,0,0,1,2014,1016784.927,191528.0327,JACKIE ROBINSON PKWY ET 3 WB    ,CYPRESS HILLS STREET            
576,1,576,1,1,0,0,2014,994422.23,163414.0741,AVENUE N                        ,CONEY ISLAND AVENUE             
577,1,577,1,1,0,0,2014,993892.8806,165115.4717,EAST 10 STREET                  ,AVENUE L                        
578,1,578,1,1,0,0,2014,1003925.232,172378.9479,UTICA AVENUE                    ,FOSTER AVENUE                   
579,1,579,1,1,0,0,2014,997142.674,187525.8953,HALSEY STREET                   ,BEDFORD AVENUE                  
580,4,580,1,1,0,0,2014,989387.9156,190637.5249,DEKALB AVENUE                   ,FLATBUSH AVENUE EXTENSION       
581,2,581,1,1,0,0,2014,1033663.952,195048.505,JAMAICA AVENUE                  ,131 STREET                      
582,3,582,1,1,0,0,2014,1019873.304,187658.5657,ATLANTIC AVENUE                 ,CRESCENT STREET                 
583,1,583,1,0,0,1,2014,997839.1638,225592.6407,EAST 96 STREET                  ,LEXINGTON AVENUE                
584,1,584,1,1,0,0,2014,982476.9917,160043.1199,RUTHERFORD PLACE                ,BAY 16 STREET                   
585,0,585,1,0,0,1,2013,,,,
586,0,586,2,2,0,0,2013,,,,
587,0,587,1,0,0,1,2013,,,,
588,1,588,1,1,0,0,2013,988861.1916,209393.5019,LEXINGTON AVENUE                ,EAST 26 STREET                  
589,1,589,1,1,0,0,2013,990502.1755,188495.9229,FLATBUSH AVENUE                 ,ATLANTIC AVENUE                 
590,0,590,1,0,0,1,2013,,,,
591,3,591,1,0,0,1,2013,999740.9726,224442.664,F D R DRIVE                     ,FDR DRIVE NB ENTRANCE YORK AVE  
592,1,592,2,2,0,0,2013,1007722.695,232006.9698,RFK BRIDGE BRONX ENTRANCE RAMP  ,BRUCKNER BOULEVARD              
593,2,593,1,1,0,0,2013,1007944.827,247098.7729,CROSS BRONX EXPWY ET 2 A EB     ,JEROME AVENUE                   
594,2,594,1,1,0,0,2013,1010368.353,245269.1079,CLAY AVENUE                     ,CLAREMONT PARKWAY               
595,1,595,1,1,0,0,2013,1030672.298,243633.1765,EAST TREMONT AVENUE             ,PURITAN AVENUE                  
596,1,596,1,1,0,0,2013,1032521.683,224115.8208,WHITESTONE EXPRESSWAY SR WEST   ,20 AVENUE                       
597,0,597,1,0,0,1,2013,,,,
598,0,598,1,1,0,0,2013,,,,
599,1,599,1,1,0,0,2013,961906.6959,164184.0234,PARK HILL AVENUE                ,OSGOOD AVENUE                   
600,1,600,1,0,0,1,2013,989480.9114,221349.3175,COLUMBUS AVENUE                 ,WEST 67 STREET                  
601,2,601,1,1,0,0,2013,1001427.928,244767.8921,AMSTERDAM AVENUE                ,WEST 166 STREET                 
602,2,602,1,0,1,0,2013,998510.1828,200765.4118,MEEKER AVENUE                   ,FROST STREET                    
603,3,603,2,1,0,1,2013,1006263.787,210117.818,QUEENS BOULEVARD                ,44 STREET                       
604,2,604,1,1,0,0,2013,976716.5607,167259.4798,82 STREET                       ,4 AVENUE                        
605,3,605,1,1,0,0,2013,1045092.364,197451.7193,JAMAICA AVENUE                  ,180 STREET                      
606,3,606,1,1,0,0,2013,1023157.382,199211.2293,COOPER AVENUE                   ,TROTTING COURSE LANE            
607,1,607,1,0,0,1,2013,999371.0455,175787.5858,EAST 34 STREET                  ,SNYDER AVENUE                   
608,1,608,1,1,0,0,2013,1026071.113,263801.0555,EAST 233 STREET                 ,PAULDING AVENUE                 
609,1,609,1,0,1,0,2013,1026464.612,178420.7367,160 AVENUE                      ,84 STREET                       
610,1,610,1,0,0,1,2013,977022.7576,170895.109,BAY RIDGE AVENUE                ,3 AVENUE                        
611,1,611,1,1,0,0,2013,1053197.117,212735.9427,CLOVERDALE BOULEVARD            ,HORACE HARDING EXPRESSWAY SR S  
612,1,612,1,1,0,0,2013,1001634.502,210770.753,30 STREET                       ,THOMSON AVENUE                  
613,1,613,1,0,0,1,2013,1004313.007,177549.0948,LINDEN BOULEVARD                ,EAST 53 STREET                  
614,1,614,1,1,0,0,2013,1015252.191,236829.4664,COSTER STREET                   ,HUNTS POINT AVENUE              
615,6,615,1,1,0,0,2013,997353.9367,231844.2142,ADAM C POWELL BOULEVARD         ,ST NICHOLAS AVENUE              
616,1,616,1,0,0,1,2013,1003786.876,174068.4455,CLARENDON ROAD                  ,UTICA AVENUE                    
617,3,617,1,1,0,0,2013,1012129.605,252133.5693,GRAND CONCOURSE                 ,FIELD PLACE                     
618,1,618,1,0,0,1,2013,1011943.858,211058.6626,ROOSEVELT AVENUE                ,64 STREET                       
619,1,619,1,1,0,0,2013,942229.3898,171378.3653,SIMONSON AVENUE                 ,RICHMOND TERRACE                
620,4,620,1,1,0,0,2013,1031384.612,259299.0533,DREISER LOOP                    ,CO-OP CITY BOULEVARD            
621,1,621,1,1,0,0,2013,958128.2455,150009.2948,JEFFERSON AVENUE                ,MASON AVENUE                    
622,3,622,1,1,0,0,2013,1011681.217,234917.9643,BRUCKNER BOULEVARD              ,AUSTIN PLACE                    
623,1,623,1,1,0,0,2013,989808.6601,214264.9583,WEST 44 STREET                  ,EAST 44 STREET                  
624,1,624,1,1,0,0,2013,1000029.443,242245.0494,AMSTERDAM AVENUE                ,WEST 155 STREET                 
625,1,625,1,1,0,0,2013,1054525.635,181409.9335,LANSING AVENUE                  ,230 PLACE                       
626,1,626,1,1,0,0,2013,982672.5688,161186.0471,BAY 14 STREET                   ,86 STREET                       
627,4,627,1,0,0,1,2013,1005296.109,175438.4067,EAST 56 STREET                  ,KINGS HIGHWAY                   
628,1,628,1,1,0,0,2013,1040143.194,195368.1201,160 STREET                      ,ARCHER AVENUE                   
629,1,629,1,1,0,0,2013,1028736.406,225532.6979,14 AVENUE                       ,129 STREET                      
630,1,630,1,0,0,1,2013,1022787.087,184870.5598,SOUTH CONDUIT AVENUE            ,RUBY STREET                     
631,3,631,1,1,0,0,2013,1012700.552,253506.306,GRAND CONCOURSE                 ,EAST FORDHAM ROAD               
632,1,632,1,1,0,0,2013,980577.8357,173285.7535,55 STREET                       ,5 AVENUE                        
633,1,633,1,1,0,0,2013,988543.3707,207772.2846,EAST 20 STREET                  ,3 AVENUE                        
634,3,634,1,1,0,0,2013,1043392.882,209173.0922,HORACE HARDING EXPRESSWAY SR S  ,188 STREET                      
635,1,635,1,0,0,1,2013,1026099.006,261375.4894,EAST 225 STREET                 ,EAST 226 DRIVE                  
636,3,636,1,1,0,0,2013,988733.885,202128.9695,AVENUE B                        ,CLINTON STREET                  
637,1,637,1,1,0,0,2013,1019524.013,265828.6039,EAST 233 STREET                 ,ONEIDA AVENUE                   
638,3,638,1,0,0,1,2013,983518.7941,216222.6089,12 AVENUE                       ,WEST 39 STREET                  
639,1,639,1,1,0,0,2013,1011917.666,255535.5838,WEST KINGSBRIDGE ROAD           ,AQUEDUCT AVENUE WEST            
640,1,640,1,1,0,0,2013,1047178.084,212689.4139,206 STREET                      ,53 AVENUE                       
641,6,641,1,1,0,0,2013,1027497.921,202160.4291,71 AVENUE                       ,QUEENS BOULEVARD                
642,3,642,1,1,0,0,2013,1012233.208,252362.555,EAST 184 STREET                 ,GRAND CONCOURSE                 
643,3,643,1,0,0,1,2013,1048490.841,213821.1895,212 STREET                      ,50 AVENUE                       
644,1,644,1,0,1,0,2013,987494.5473,190614.6884,SCHERMERHORN STREET             ,SMITH STREET                    
645,1,645,1,1,0,0,2013,1018351.683,211951.6135,CASE STREET                     ,ROOSEVELT AVENUE                
646,3,646,1,1,0,0,2013,995794.0743,236458.0235,WEST 125 STREET                 ,BROADWAY                        
647,1,647,1,0,1,0,2013,985266.996,168236.1413,59 STREET                       ,NEW UTRECHT AVENUE              
648,1,648,1,1,0,0,2013,983346.465,201729.3476,CANAL STREET                    ,GREENE STREET                   
649,1,649,3,0,0,3,2013,993711.9853,195457.6246,KENT AVENUE                     ,WILSON STREET                   
650,1,650,1,0,0,1,2013,953596.2959,156179.4301,WHITLOCK AVENUE                 ,CIRCLE ROAD                     
651,1,651,1,0,0,1,2013,1007684.546,176108.0871,AVENUE B                        ,EAST 91 STREET                  
652,6,652,1,1,0,0,2013,1008780.387,184455.4225,ST MARKS AVENUE                 ,EASTERN PARKWAY                 
653,3,653,1,1,0,0,2013,951918.8189,144747.6193,HYLAN BOULEVARD                 ,TYSENS LANE                     
654,3,654,1,0,1,0,2013,994631.5612,183976.7131,WASHINGTON AVENUE               ,EASTERN PARKWAY                 
655,1,655,1,1,0,0,2013,1015942.79,213158.1302,35 AVENUE                       ,81 STREET                       
656,2,656,1,1,0,0,2013,1006595.699,207074.8352,LONG ISLAND EXPWY ET 17 WB      ,LAUREL HILL BOULEVARD           
657,1,657,1,1,0,0,2013,1008918.487,194147.4011,PALMETTO STREET                 ,WYCKOFF AVENUE                  
658,2,658,1,1,0,0,2013,991233.6015,205162.9001,AVENUE C                        ,EAST 16 STREET                  
659,1,659,1,1,0,0,2013,982188.2656,165269.8119,BAY RIDGE PARKWAY               ,13 AVENUE                       
660,1,660,1,0,0,1,2013,1010857.42,171942.1083,AVENUE J                        ,REMSEN AVENUE                   
661,1,661,1,0,0,1,2013,1016486.782,243112.3934,WEST FARMS ROAD                 ,EAST 173 STREET                 
662,1,662,1,0,0,1,2013,1002027.366,219316.2507,31 DRIVE                        ,VERNON BOULEVARD                
663,1,663,1,0,0,1,2013,995655.5215,197787.7314,HAVEMEYER STREET                ,WILLIAMSBURG BRIDGE ET S 5 ST   
664,1,664,1,0,0,1,2013,1017209.234,187534.2877,ARLINGTON AVENUE                ,HIGHLAND PLACE                  
665,1,665,1,0,0,1,2013,1056824.538,189664.6378,226 STREET                      ,FRANCIS LEWIS BOULEVARD         
666,1,666,1,1,0,0,2013,1011867.589,170754.2465,REMSEN AVENUE                   ,AVENUE L                        
667,1,667,1,0,0,1,2013,1029972.434,179718.5852,98 STREET                       ,159 AVENUE                      
668,2,668,1,1,0,0,2013,996967.9335,196829.6592,HOOPER STREET                   ,BROADWAY                        
