OBJECTID,Join_Count,TARGET_FID,Fatalities,PedFatalities,BikeFatalities,MVOFatalities,YR,nodeX,nodeY,STREET1,STREET2
59,1,59,1,1,0,0,2016,991278.7553,228307.5776,WEST 93 STREET                  ,WEST END AVENUE                 
60,1,60,1,1,0,0,2016,1022414.923,192859.8381,FOREST PARKWAY                  ,PARK LANE SOUTH                 
61,3,61,1,1,0,0,2016,1018509.287,217348.1674,ASTORIA BOULEVARD               ,93 STREET                       
62,1,62,1,0,0,1,2016,1013036.598,186073.3162,NEW JERSEY AVENUE               ,FULTON STREET                   
63,1,63,1,1,0,0,2016,989230.5543,212176.1144,EAST 36 STREET                  ,MADISON AVENUE                  
64,1,64,1,1,0,0,2016,994810.8086,160732.3213,QUENTIN ROAD                    ,CONEY ISLAND AVENUE             
65,3,65,1,1,0,0,2016,1002811.642,186138.0766,ATLANTIC AVENUE                 ,SCHENECTADY AVENUE              
66,1,66,1,1,0,0,2016,1004062.972,219474.2196,21 STREET                       ,30 ROAD                         
67,1,67,1,1,0,0,2016,1012171.627,172033.1251,AVENUE K                        ,EAST 94 STREET                  
68,7,68,1,1,0,0,2016,1012516.324,263731.0458,BROADWAY                        ,MANHATTAN COLLEGE PARKWAY       
69,1,69,1,0,0,1,2016,1023777.41,260553.6637,BRONXWOOD AVENUE                ,EAST 219 STREET                 
70,2,70,1,0,1,0,2016,1017565.782,255431.4761,MOSHOLU PARKWAY                 ,SOUTHERN BOULEVARD              
71,2,71,1,1,0,0,2016,989277.025,223301.0131,BROADWAY                        ,WEST 73 STREET                  
72,8,72,1,1,0,0,2016,1020889.565,239808.1874,ROSEDALE AVENUE                 ,BRUCKNER BOULEVARD              
73,1,73,1,0,0,1,2016,1019758.386,259418.3149,EAST GUN HILL ROAD              ,WEBSTER AVENUE                  
74,3,74,1,0,0,1,2016,1022499.46,245893.3327,EAST TREMONT AVENUE             ,DOGWOOD DRIVE                   
75,10,75,1,0,1,0,2016,985733.081,219801.7025,WEST 55 STREET                  ,12 AVENUE                       
76,1,76,1,1,0,0,2016,1005617.047,188539.2627,RALPH AVENUE                    ,MACON STREET                    
77,1,77,1,1,0,0,2016,1013576.453,194624.4832,61 STREET                       ,MYRTLE AVENUE                   
78,1,78,1,1,0,0,2016,1001518.315,235386.4788,WEST 135 STREET                 ,5 AVENUE                        
79,1,79,1,0,0,1,2016,937509.2454,131191.2492,HYLAN BOULEVARD                 ,ALLEN PLACE                     
80,1,80,1,1,0,0,2016,1002397.568,229765.2551,1 AVENUE                        ,EAST 118 STREET                 
81,8,81,1,1,0,0,2016,1027860.361,183638.7086,ALBERT ROAD                     ,CROSS BAY BOULEVARD             
82,1,82,1,1,0,0,2016,989780.2612,218177.3357,WEST 57 STREET                  ,7 AVENUE                        
83,8,83,1,0,0,1,2016,1029141.232,246405.0295,WESTCHESTER AVENUE              ,HUTCHINSON RIVER PARKWAY        
84,1,84,1,1,0,0,2016,1007843.459,239931.4779,COURTLANDT AVENUE               ,EAST 162 STREET                 
85,1,85,2,0,0,2,2016,1011602.93,174539.0483,GLENWOOD ROAD                   ,EAST 98 STREET                  
86,1,86,1,0,0,1,2016,1024100.415,261325.3157,BRONXWOOD AVENUE                ,EAST 222 STREET                 
